Mem,F1,WE,AUR,ACC,AVG,Shape,Trend,Alpha,Beta
0.11507614670631702,0.5987261146496815,0.5889967637540453,0.5486111111111112,0.5825242718446602,0.6025641025641025,0.9064812311635778,0.8719554624799182,0.7422546634225466,0.5195217926766995
0.11426511669820673,0.5226480836236934,0.5017921146953405,0.508833922261484,0.5161290322580645,0.5467128027681661,0.8895847726612798,0.8824344674873706,0.7815025081853955,0.4819801147457271
0.10543390105433902,0.4870848708487085,0.5217391304347826,0.43137254901960786,0.5182481751824818,0.539568345323741,0.8560321608442722,0.8093341144313057,0.6314018803880928,0.41584211949175465
0.11669820672253763,0.3056768558951965,0.32456140350877194,0.021621621621621623,0.33480176211453744,0.2882882882882883,0.8402070629699718,0.8042752664657863,0.7329969060707098,0.36423057282749083
0.1354420113544201,0.021505376344086023,0.10362694300518134,0.0,0.11282051282051282,0.1407035175879397,0.7882360597959408,0.7328617151379565,0.7850470097023219,0.229785828001562
0.10903847886816256,0.4163265306122449,0.41767068273092367,0.4772727272727273,0.4,0.4112903225806452,0.8547805713255835,0.8131190482322043,0.671238472860533,0.4042654170796912
0.11210237000991259,0.4674329501915709,0.45977011494252873,0.3682008368200837,0.4566929133858268,0.4772727272727273,0.8537342424879596,0.8216699249485682,0.6527529963053078,0.40752155237151166
0.12084347120843471,0.5136986301369864,0.53156146179402,0.4857142857142857,0.5284280936454849,0.5306122448979592,0.8061387962712644,0.7404455513287564,0.589720945600913,0.3005076447087801
0.11615752005046409,0.4528301886792453,0.40476190476190477,0.0,0.42063492063492064,0.36213991769547327,0.8177285152143222,0.7712632020405792,0.6097083295785648,0.303925986002223
0.10597458772641255,0.18604651162790697,0.22325581395348837,0.0,0.1553398058252427,0.10050251256281408,0.8142090454877695,0.7609058195780325,0.5702622330359557,0.29615211318374335
0.11696855005857439,0.05263157894736842,0.11940298507462686,0.021621621621621623,0.041884816753926704,0.07179487179487179,0.8072351886896358,0.7649703340295239,0.6045838214532456,0.2882580877714698
0.12228530233396413,0.33191489361702126,0.30837004405286345,0.042105263157894736,0.29333333333333333,0.3125,0.8195057723308602,0.7660255767266838,0.6761647292060917,0.2892433390405814
0.10786699107866991,0.3870967741935484,0.325,0.3459915611814346,0.3220338983050847,0.3770491803278688,0.802614320186637,0.7446871956776792,0.5590159502568262,0.27841158271004185
0.09786428764530955,0.1477832512315271,0.06282722513089005,0.07253886010362694,0.12121212121212122,0.021505376344086023,0.7816126480630401,0.7190235035244488,0.5474152173260041,0.24115827100417542
0.11210237000991259,0.5897435897435898,0.5882352941176471,0.5592105263157895,0.5714285714285714,0.6012658227848101,0.9260711103100938,0.9095408941855636,0.7924784476284882,0.5259018954071671
0.06326034063260341,0.06060606060606061,0.03208556149732621,0.0,0.09230769230769231,0.0,0.727864387772471,0.6557244310625338,0.37700880117749547,0.15305037397494814
0.16022348382445706,0.25688073394495414,0.28440366972477066,0.021621621621621623,0.0,0.25225225225225223,0.6915282408658997,0.6354261830872625,0.7665074644798895,0.13531585113093647
0.12219518788861855,0.5889967637540453,0.5686274509803921,0.5882352941176471,0.5889967637540453,0.5751633986928104,0.9224264816316722,0.9085737807959673,0.796996185155147,0.5263404523745157
0.12228530233396413,0.33191489361702126,0.30837004405286345,0.042105263157894736,0.29333333333333333,0.3125,0.8195057723308602,0.7660255767266838,0.6761647292060917,0.2892433390405814
0.14238082364603047,0.6219512195121951,0.6422018348623854,0.6325878594249201,0.625,0.6172839506172839,0.9851611546664264,0.9779084469359923,0.9942776291407329,0.48729085939142724
0.12850319906280977,0.5993485342019544,0.5816993464052288,0.5753424657534246,0.6143790849673203,0.5770491803278689,0.966677680654431,0.9575953510119655,0.9101138445826199,0.5271634976420054
0.14733711814003786,0.5878378378378378,0.5694444444444444,0.5342960288808665,0.5594405594405595,0.5793103448275863,0.9562294113524175,0.9505089855170542,0.9422907092006849,0.45392448409480035
