step,mloss,gloss,loss,smooth_loss,lr,epsilon
50,1.2659,1.0329,2.2988,2.2988,0.0007691754395460042,
100,1.1333,1.0087,2.142,2.295664,0.0015232690077283612,
150,1.1334,1.0108,2.1441999999999997,2.2926347199999997,0.0018090902005970335,
200,1.1381,1.0095,2.1475999999999997,2.2897340255999996,0.0018046069692322134,
250,1.1365,1.0094,2.1459,2.286857345088,0.001796069731222897,
300,1.125,1.0071,2.1321000000000003,2.2837621981862397,0.0017835189922243617,
350,1.1259,1.0041,2.13,2.280686954222515,0.0017670143002902964,
400,1.1194,1.0016,2.121,2.2774932151380645,0.0017466339633419755,
450,1.1243,1.0038,2.1281,2.2745053508353035,0.001722474677629632,
500,1.123,1.0009,2.1239,2.2714932438185973,0.0016946510689488364,
550,1.1292,0.9989,2.1281,2.2686253789422257,0.0016632951487886138,
600,1.1284,1.0003,2.1287000000000003,2.265826871363381,0.001628555687991655,
650,1.1262,1.0009,2.1271,2.2630523339361135,0.0015905975108983375,
700,1.113,0.9961,2.1090999999999998,2.259973287257391,0.00154960071332356,
750,1.1228,1.0029,2.1257,2.2572878215122434,0.0015057598080767578,
800,1.1172,0.9949,2.1121,2.2543840650819984,0.0014592828020792566,
850,1.1149,0.9943,2.1092,2.2514803837803585,0.0014103902094576585,
900,1.1109,0.9921,2.1029999999999998,2.2485107761047516,0.001359314005295726,
950,1.11,0.9919,2.1019,2.245578560582657,0.0013062965250087728,
1000,1.122,0.988,2.1100000000000003,2.242866989371004,0.0012515893145625782,525.6587692466003
1050,1.1059,0.9891,2.095,2.239909649583584,0.0011954519369920555,525.6587692466003
1100,1.1074,0.9857,2.0930999999999997,2.2369734565919126,0.0011381507408822532,525.6587692466003
1150,1.104,0.9822,2.0862,2.2339579874600743,0.0010799575966547327,525.6587692466003
1200,1.0973,0.9698,2.0671,2.230620827710873,0.00102114860665512,525.6587692466003
1250,1.0944,0.9605,2.0549,2.2271064111566554,0.0009620027951619335,525.6587692466003
1300,1.097,0.958,2.0549999999999997,2.2236642829335223,0.0009028007845320505,525.6587692466003
1350,1.0927,0.9432,2.0359,2.219908997274852,0.0008438234637639555,525.6587692466003
1400,1.0853,0.9334,2.0187,2.215884817329355,0.0007853506557958824,525.6587692466003
1450,1.0933,0.9261,2.0194,2.211955120982768,0.000727659789861972,525.6587692466003
1500,1.0899,0.9153,2.0052000000000003,2.2078200185631123,0.000671024585205566,525.6587692466003
1550,1.0776,0.897,1.9746,2.20315561819185,0.0006157137523948625,525.6587692466003
1600,1.0829,0.884,1.9668999999999999,2.198430505828013,0.0005619897184026657,525.6587692466003
1650,1.0818,0.8815,1.9633,2.1937278957114525,0.0005101073814991869,525.6587692466003
1700,1.0942,0.8583,1.9525000000000001,2.1889033377972233,0.0004603129018654191,525.6587692466003
1750,1.0779,0.8509,1.9288,2.183701271041279,0.0004128425336651243,525.6587692466003
1800,1.0688,0.8326,1.9014,2.1780552456204534,0.000367921504116763,525.6587692466003
1850,1.0728,0.8194,1.8921999999999999,2.1723381407080447,0.0003257629448837098,525.6587692466003
1900,1.0673,0.8054,1.8727,2.1663453778938835,0.00028656688085286567,525.6587692466003
1950,1.0774,0.7913,1.8687,2.160392470336006,0.00025051928109948613,525.6587692466003
2000,1.0693,0.7837,1.8529999999999998,2.1542446209292856,0.0002177911765410139,inf
2050,1.0631,0.7789,1.842,2.1479997285107,0.00018853784846627506,inf
2100,1.061,0.7676,1.8285999999999998,2.1416117339404863,0.00016289809179013482,inf
2150,1.0693,0.7602,1.8295,2.1353694992616763,0.00014099355652916413,inf
2200,1.0593,0.7549,1.8142,2.128946109276443,0.0001229281706227392,inf
2250,1.0668,0.7502,1.817,2.122707187090914,0.00010878764683805323,inf
2300,1.0672,0.7475,1.8147,2.1165470433490956,9.863907609856739e-05,inf
2350,1.0689,0.7436,1.8125,2.1104661024821136,9.253060916539141e-05,inf
2400,1.0596,0.7407,1.8003,2.1042627804324714,9.049122818188285e-05,inf
