step,mloss,gloss,loss,smooth_loss,lr,epsilon
50,1.3873,1.0503,2.4375999999999998,2.4375999999999998,0.0007691754395460042,
100,1.1761,1.0148,2.1909,2.4326659999999998,0.0015232690077283612,
150,1.1941,1.0751,2.2691999999999997,2.4293966799999995,0.0018090902005970335,
200,1.2523,1.2246,2.4768999999999997,2.4303467463999997,0.0018046069692322134,
250,1.3251,1.3893,2.7144,2.436027811472,0.001796069731222897,
300,1.3642,1.458,2.8222,2.4437512552425598,0.0017835189922243617,
350,1.4056,1.4895,2.8951000000000002,2.4527782301377083,0.0017670143002902964,
400,1.425,1.4616,2.8866,2.461454665534954,0.0017466339633419755,
450,1.4283,1.4773,2.9055999999999997,2.470337572224255,0.001722474677629632,
500,1.4444,1.3494,2.7938,2.4768068207797698,0.0016946510689488364,
550,1.4856,1.3154,2.801,2.4832906843641744,0.0016632951487886138,
600,1.508,1.2596,2.7676,2.488976870676891,0.001628555687991655,
650,1.5037,1.2145,2.7182,2.4935613332633535,0.0015905975108983375,
700,1.4912,1.1416,2.6328,2.4963461065980868,0.00154960071332356,
750,1.4615,1.0785,2.54,2.4972191844661253,0.0015057598080767578,
800,1.3722,1.0252,2.3974,2.4952228007768027,0.0014592828020792566,
