step,mloss,gloss,loss,smooth_loss,lr,epsilon
50,1.2546,1.0306,2.2851999999999997,2.2851999999999997,0.0007691754395460042,
100,1.1302,1.0067,2.1369,2.2822339999999994,0.0015232690077283612,
150,1.133,1.0084,2.1414,2.2794173199999994,0.0018090902005970335,
200,1.1308,1.0052,2.136,2.2765489735999993,0.0018046069692322134,
250,1.1255,1.0052,2.1307,2.273631994127999,0.001796069731222897,
300,1.1141,1.0044,2.1185,2.270529354245439,0.0017835189922243617,
350,1.1215,1.003,2.1245,2.2676087671605303,0.0017670143002902964,
400,1.113,0.9996,2.1126,2.26450859181732,0.0017466339633419755,
450,1.1127,0.9999,2.1126,2.261470419980973,0.001722474677629632,
500,1.1147,0.9959,2.1106,2.258453011581354,0.0016946510689488364,
550,1.12,0.9938,2.1138000000000003,2.255559951349727,0.0016632951487886138,
600,1.1188,0.9938,2.1126,2.252700752322732,0.001628555687991655,
650,1.1178,0.9934,2.1111999999999997,2.2498707372762774,0.0015905975108983375,
700,1.1035,0.9855,2.089,2.246653322530752,0.00154960071332356,
750,1.1171,0.9975,2.1146000000000003,2.244012256080137,0.0015057598080767578,
800,1.1253,0.9914,2.1167,2.2414660109585345,0.0014592828020792566,
850,1.1161,0.9898,2.1059,2.2387546907393636,0.0014103902094576585,
900,1.1103,0.9843,2.0946,2.235871596924576,0.001359314005295726,
950,1.1154,0.9821,2.0975,2.2331041649860843,0.0013062965250087728,
1000,1.1141,0.967,2.0811,2.2300640816863626,0.0012515893145625782,inf
1050,1.0946,0.9443,2.0389,2.2262408000526355,0.0011954519369920555,inf
1100,1.0932,0.9234,2.0166,2.2220479840515823,0.0011381507408822532,inf
1150,1.0934,0.9132,2.0065999999999997,2.2177390243705504,0.0010799575966547327,inf
1200,1.0962,0.9008,1.997,2.2133242438831395,0.00102114860665512,inf
1250,1.0919,0.8776,1.9695,2.2084477590054767,0.0009620027951619335,inf
1300,1.0921,0.8696,1.9617,2.203512803825367,0.0009028007845320505,inf
1350,1.0862,0.8423,1.9285,2.19801254774886,0.0008438234637639555,inf
1400,1.078,0.8131,1.8911000000000002,2.191874296793883,0.0007853506557958824,inf
1450,1.0815,0.7833,1.8647999999999998,2.1853328108580055,0.000727659789861972,inf
1500,1.0772,0.7681,1.8453,2.1785321546408456,0.000671024585205566,inf
1550,1.0648,0.7472,1.8119999999999998,2.1712015115480283,0.0006157137523948625,inf
1600,1.0709,0.7297,1.8006,2.1637894813170675,0.0005619897184026657,inf
1650,1.0676,0.7157,1.7833,2.156179691690726,0.0005101073814991869,inf
1700,1.0803,0.7049,1.7852000000000001,2.1487600978569112,0.0004603129018654191,inf
1750,1.0627,0.6864,1.7490999999999999,2.1407668958997728,0.0004128425336651243,inf
1800,1.0564,0.6762,1.7326000000000001,2.1326035579817773,0.000367921504116763,inf
1850,1.0568,0.6679,1.7247,2.124445486822142,0.0003257629448837098,inf
1900,1.0534,0.6604,1.7138,2.1162325770856993,0.00028656688085286567,inf
1950,1.0632,0.6509,1.7141,2.1081899255439853,0.00025051928109948613,inf
2000,1.0563,0.6453,1.7016,2.1000581270331056,0.0002177911765410139,inf
2050,1.0503,0.6406,1.6909,2.0918749644924435,0.00018853784846627506,inf
2100,1.0475,0.6332,1.6807,2.083651465202595,0.00016289809179013482,inf
2150,1.0565,0.6313,1.6878,2.075734435898543,0.00014099355652916413,inf
2200,1.0471,0.626,1.6730999999999998,2.067681747180572,0.0001229281706227392,inf
2250,1.0539,0.6258,1.6797,2.0599221122369604,0.00010878764683805323,inf
2300,1.0563,0.6237,1.6800000000000002,2.052323669992221,9.863907609856739e-05,inf
2350,1.0598,0.6222,1.682,2.044917196592377,9.253060916539141e-05,inf
2400,1.0464,0.6199,1.6663000000000001,2.0373448526605293,9.049122818188285e-05,inf
